OBJECTID,KBIF ID,Facility Name,Facility Street Address,City Name,State,Zip Code ,County Name,Area Development District,NAICS Code,Building Sq Footage,Number of Employees,Average Trucks per Day,Truck Bays,Average Trains Week,Facility Length of Rail,Number of Rail Doors,Prior CHAF ID,Completed CHAF ID,Existing CHAF ID,Intermodal Connector Needs,Comments,Meets Criteria,Area Development District Name,County Number,District Number,District Name,RT Unique,Road Name,Route Prefix,Route Suffix,Route Label,Update Indicator,GUID_Str,End Active Date,GlobalID,last_edited_date,created_user,created_date,last_edited_user,MP,RT_NUMBER,x,y
1287,0,GE Appliances Kentucky Logistics Center,6611 Shepherdsville Rd,Louisville,KY,40228,Jefferson,KIPDA,493110,283820,0,96,48,0,0,0, , , , ,2023 NEW FEATURE,YES,KIPDA ADD,56,5,Louisville,,,,,,2,7995783A-ED93-4DD7-A563-A8FFE47EBF9D,,149a16bd-33a6-41e9-8c91-b4921265f21a,6/1/2023 12:00:00 AM,,,EMILY.BARTEE,,,-9535323.257,4601043.9501
1288,9255,Pepsi Beverage Company,4010 Crittenden Dr,Louisville,KY,40209,Jefferson,KIPDA,493110,184641,251,0,0,0,0,0, , , , ,MOVED FEATURE - KIPDA NEEDS TO SURVEY AND POPULATE ATTRIBUTES,YES,KIPDA ADD,56,5,Louisville,,,,,,2,0B783DEB-45D9-4DE0-927B-A9099922F3FE,,ea5970ad-9c53-46a4-8880-2b1c1e975ac2,7/21/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9545851.049,4607043.1591
1289,4291,"Corefact, Sozo Hemp LLC",4820 Allmond Ave,Louisville,KY,40214-2506,Jefferson,KIPDA,"323111, 424690",63000,88,14,7,0,0,0, , , , ,2024 UPDATE NAME NAICS SQFT TRUCK_BAYS,YES,KIPDA ADD,56,5,Louisville,,,,,,2,AE413AD8-B0D9-4F97-9D58-A93209B42DA7,,cfb34b25-1069-4048-995b-55685f709f91,6/30/2024 12:00:00 AM,,,EMILY.BARTEE,,,-9546069.8303,4604244.3906
1290,0," Wen-Parker Logistics SDF, Truckload Management", 6101 Strawberry Lane,Louisville,KY,40214,Jefferson,KIPDA,488510,55000,0,16,8,0,0,0,, , , ,NEW FEATURE,YES,KIPDA ADD,56,5,Louisville,,,,,,2,8EDE9668-1D91-4625-B363-A954186789BC,,3380ba98-de49-4303-8673-3157b0ca5dce,7/21/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9545931.9501,4603569.2104
1291,301011000,Amazon.com,172 Trade Street,Lexington,KY,40511-2607,Fayette,BGADD,454111,380000,1500,66,33,0,0,0, , , , ,MOVED FEATURE; ATD EST,YES,BLUEGRASS ADD,34,7,Lexington,,,,,,2,8CAF5AFC-61D3-467C-AC18-A972B0A0B117,,ecb4917f-99f4-44d5-b484-2cce0c8917a3,6/30/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9412049.477,4590074.9642
1292,408522600,WestRock Company,250 Service Lane,Danville,KY,40422-,Boyle,BGADD,493110,195000,15,32,16,0,0,0, , , , ,"MOVED FEATURE; EMPLYMT, ATD EST",YES,BLUEGRASS ADD,11,7,Lexington,,,,,,2,6C5CC713-6CB4-4714-A525-A979B068336E,,f49fcbf3-15d8-41a2-9dc0-a81f00e9fca3,6/30/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9440342.6914,4525659.6806
1293,1553,Brenntag Mid-South Inc,1405 Highway 136 W,Henderson,KY,42420-9682,Henderson,GRADD,"325180, 493110, 551114",120000,302,20,12,12,3200,4, , , , ,EMP; TRUCK INFO; RAIL INFO,YES,GREEN RIVER ADD,51,2,Madisonville,,,,,,2,79BCA1DA-0A33-4743-88D2-A984DB2B73C0,,f4216749-c322-4c54-872b-9b49644c49e8,4/21/2020 12:00:00 AM,,,EMILY.BARTEE,,,-9757327.3963,4551957.2518
1294,489913101,Brady Worldwide Incorporated,7201 National Turnpike,Louisville,KY,40214,Jefferson,KIPDA,"314999, 326140",236400,100,26,26,0,0,0,, , , ,MOVED FEATURE,YES,KIPDA ADD,56,5,Louisville,,,,,,2,E6824D57-80EE-42F9-B32F-A9C8721584E7,,2eac8bb1-ae13-4a8d-b346-238c499c5dd9,7/21/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9546019.8828,4599957.6939
1295,0,Sheppard and Co,1261 Jamike Ln,Erlanger,KY, ,Boone,NKADD,31,35000,0,6,6,0,0,0, , , , , ,YES,NORTHERN KENTUCKY ADD,8,6,Covington,,,,,,2,26EAE8E3-EEA1-409C-95C1-A9E40C652205,,79831cfb-2942-4609-a7ee-39e7b745823d,9/1/2023 12:00:00 AM,,,EMILY.BARTEE,,,-9420874.9546,4727180.3968
1296,5119,Hearthside Food Solutions LLC,1188 S Laurel Rd,London,KY,40744-7959,Laurel,CVADD,311821,260000,599,15,12,0,0,0, , , , ,UPDATED 6/30/2020,YES,CUMBERLAND VALLEY ADD,63,11,Manchester,,,,,,2,4D6EA275-7C19-4838-AD31-A9F8B45595C4,,f1c48965-3520-48f0-99e6-4f0ab4d278bf,9/8/2021 12:00:00 AM,,,EMILY.BARTEE,,,-9357670.3271,4451949.1501
