Measure Names,Port Name,State,Year,Port Code,Measure Values
Total (tons),Biloxi,Mississippi,2010,C2002,"3,140,787"
Domestic,Biloxi,Mississippi,2010,C2002,"3,140,787"
Foreign Total,Biloxi,Mississippi,2010,C2002,
Exports,Biloxi,Mississippi,2010,C2002,
Imports,Biloxi,Mississippi,2010,C2002,
Total (tons),Boston,Massachusetts,2010,C0149,"19,091,378"
Domestic,Boston,Massachusetts,2010,C0149,"6,138,578"
Foreign Total,Boston,Massachusetts,2010,C0149,"12,952,800"
Exports,Boston,Massachusetts,2010,C0149,"1,231,173"
Imports,Boston,Massachusetts,2010,C0149,"11,721,627"
Total (tons),Boston,Massachusetts,2017,C0149,"16,618,977"
Domestic,Boston,Massachusetts,2017,C0149,"4,245,127"
Foreign Total,Boston,Massachusetts,2017,C0149,"12,373,850"
Exports,Boston,Massachusetts,2017,C0149,"1,787,740"
Imports,Boston,Massachusetts,2017,C0149,"10,586,110"
Total (tons),Boston,Massachusetts,2018,C0149,"16,163,552"
Domestic,Boston,Massachusetts,2018,C0149,"5,188,933"
Foreign Total,Boston,Massachusetts,2018,C0149,"10,974,619"
Exports,Boston,Massachusetts,2018,C0149,"1,681,962"
Imports,Boston,Massachusetts,2018,C0149,"9,292,657"
Total (tons),Boston,Massachusetts,2019,C0149,"15,986,250"
Domestic,Boston,Massachusetts,2019,C0149,"5,129,384"
Foreign Total,Boston,Massachusetts,2019,C0149,"10,856,866"
Exports,Boston,Massachusetts,2019,C0149,"1,748,627"
Imports,Boston,Massachusetts,2019,C0149,"9,108,239"
Total (tons),Boston,Massachusetts,2020,C0149,"26,645,164"
Domestic,Boston,Massachusetts,2020,C0149,"6,799,556"
Foreign Total,Boston,Massachusetts,2020,C0149,"19,845,608"
Exports,Boston,Massachusetts,2020,C0149,"3,225,406"
Imports,Boston,Massachusetts,2020,C0149,"16,620,202"
Total (tons),Boston,Massachusetts,2021,C0149,"13,308,532"
Domestic,Boston,Massachusetts,2021,C0149,"3,132,842"
Foreign Total,Boston,Massachusetts,2021,C0149,"10,175,690"
Exports,Boston,Massachusetts,2021,C0149,"1,290,018"
Imports,Boston,Massachusetts,2021,C0149,"8,885,672"
Total (tons),Boston,Massachusetts,2022,C0149,"4,455,140"
Domestic,Boston,Massachusetts,2022,C0149,"1,950,744"
Foreign Total,Boston,Massachusetts,2022,C0149,"2,504,396"
Exports,Boston,Massachusetts,2022,C0149,"390,612"
Imports,Boston,Massachusetts,2022,C0149,"2,113,784"
Total (tons),Bridgeport,Connecticut,2010,C0311,"4,535,476"
Domestic,Bridgeport,Connecticut,2010,C0311,"3,254,551"
Foreign Total,Bridgeport,Connecticut,2010,C0311,"1,280,925"
Exports,Bridgeport,Connecticut,2010,C0311,
Imports,Bridgeport,Connecticut,2010,C0311,"1,280,925"
Total (tons),Bridgeport,Connecticut,2017,C0311,"2,031,424"
Domestic,Bridgeport,Connecticut,2017,C0311,"2,005,820"
Foreign Total,Bridgeport,Connecticut,2017,C0311,"25,604"
Exports,Bridgeport,Connecticut,2017,C0311,
Imports,Bridgeport,Connecticut,2017,C0311,"25,604"
Total (tons),Bridgeport,Connecticut,2018,C0311,"1,881,034"
Domestic,Bridgeport,Connecticut,2018,C0311,"1,846,204"
Foreign Total,Bridgeport,Connecticut,2018,C0311,"34,830"
Exports,Bridgeport,Connecticut,2018,C0311,
Imports,Bridgeport,Connecticut,2018,C0311,"34,830"
Total (tons),Bridgeport,Connecticut,2019,C0311,"1,834,962"
Domestic,Bridgeport,Connecticut,2019,C0311,"1,770,422"
