Measures,State,Year of Year,Values
Licensed drivers,New Hampshire,2022,"1,174,826"
Licensed drivers,New Hampshire,2019,"1,195,211"
Licensed drivers,New Jersey,2010,"5,952,583"
Licensed drivers,New Jersey,2015,"6,179,318"
Licensed drivers,New Jersey,2020,"6,230,912"
Licensed drivers,New Jersey,2016,"6,238,436"
Licensed drivers,New Jersey,2017,"6,301,363"
Licensed drivers,New Jersey,2018,"6,342,876"
Licensed drivers,New Jersey,2019,"6,377,413"
Licensed drivers,New Jersey,2021,"6,461,950"
Licensed drivers,New Jersey,2022,"6,633,936"
Licensed drivers,New Jersey,2023,"6,854,574"
Licensed drivers,New Mexico,2010,"1,405,926"
Licensed drivers,New Mexico,2019,"1,449,711"
Licensed drivers,New Mexico,2018,"1,458,433"
Licensed drivers,New Mexico,2015,"1,467,782"
Licensed drivers,New Mexico,2020,"1,473,219"
Licensed drivers,New Mexico,2017,"1,473,262"
Licensed drivers,New Mexico,2021,"1,477,213"
Licensed drivers,New Mexico,2022,"1,508,575"
Licensed drivers,New Mexico,2016,"1,521,785"
Licensed drivers,New Mexico,2023,"1,540,741"
Licensed drivers,New York,2010,"11,285,830"
Licensed drivers,New York,2015,"11,689,839"
Licensed drivers,New York,2021,"11,879,057"
Licensed drivers,New York,2016,"11,947,568"
Licensed drivers,New York,2022,"12,084,675"
Licensed drivers,New York,2017,"12,185,313"
Licensed drivers,New York,2018,"12,194,360"
Licensed drivers,New York,2019,"12,194,360"
Licensed drivers,New York,2020,"12,194,360"
Licensed drivers,New York,2023,"12,314,191"
Licensed drivers,North Carolina,2010,"6,536,601"
Licensed drivers,North Carolina,2015,"7,160,621"
Licensed drivers,North Carolina,2016,"7,267,042"
Licensed drivers,North Carolina,2017,"7,389,467"
Licensed drivers,North Carolina,2018,"7,509,231"
Licensed drivers,North Carolina,2019,"7,620,001"
Licensed drivers,North Carolina,2020,"7,637,400"
Licensed drivers,North Carolina,2021,"7,765,109"
Licensed drivers,North Carolina,2022,"7,980,262"
Licensed drivers,North Carolina,2023,"8,078,941"
Licensed drivers,North Dakota,2010,"483,097"
Licensed drivers,North Dakota,2020,"539,006"
Licensed drivers,North Dakota,2015,"545,027"
Licensed drivers,North Dakota,2021,"549,721"
Licensed drivers,North Dakota,2016,"555,935"
Licensed drivers,North Dakota,2019,"556,064"
Licensed drivers,North Dakota,2018,"561,333"
Licensed drivers,North Dakota,2017,"561,667"
Licensed drivers,North Dakota,2022,"563,161"
Licensed drivers,North Dakota,2023,"580,918"
Licensed drivers,Ohio,2015,"7,923,439"
Licensed drivers,Ohio,2010,"7,963,372"
Licensed drivers,Ohio,2016,"7,974,951"
Licensed drivers,Ohio,2017,"8,011,705"
Licensed drivers,Ohio,2018,"8,032,665"
Licensed drivers,Ohio,2019,"8,032,792"
Licensed drivers,Ohio,2020,"8,100,273"
Licensed drivers,Ohio,2021,"8,283,546"
Licensed drivers,Ohio,2022,"8,405,794"
Licensed drivers,Ohio,2023,"8,436,370"
Licensed drivers,Oklahoma,2010,"2,348,718"
Licensed drivers,Oklahoma,2016,"2,498,178"
Licensed drivers,Oklahoma,2018,"2,504,253"
Licensed drivers,Oklahoma,2017,"2,505,989"
Licensed drivers,Oklahoma,2019,"2,522,670"
Licensed drivers,Oklahoma,2020,"2,550,560"
Licensed drivers,Oklahoma,2022,"2,556,609"
Licensed drivers,Oklahoma,2021,"2,597,441"
Licensed drivers,Oklahoma,2023,"2,597,517"
Licensed drivers,Oklahoma,2015,"2,621,733"
Licensed drivers,Oregon,2010,"2,769,734"
Licensed drivers,Oregon,2015,"2,808,548"
Licensed drivers,Oregon,2016,"2,855,746"
Licensed drivers,Oregon,2017,"2,910,592"
Licensed drivers,Oregon,2019,"2,930,701"
Licensed drivers,Oregon,2018,"2,930,702"
Licensed drivers,Oregon,2020,"2,944,828"
Licensed drivers,Oregon,2021,"3,029,912"
Licensed drivers,Oregon,2022,"3,104,916"
Licensed drivers,Oregon,2023,"3,146,632"
Licensed drivers,Pennsylvania,2010,"8,737,162"
Licensed drivers,Pennsylvania,2020,"8,930,677"
Licensed drivers,Pennsylvania,2015,"8,942,967"
Licensed drivers,Pennsylvania,2017,"8,964,855"
Licensed drivers,Pennsylvania,2019,"8,987,676"
Licensed drivers,Pennsylvania,2018,"8,991,370"
Licensed drivers,Pennsylvania,2016,"8,996,815"
Licensed drivers,Pennsylvania,2021,"9,098,570"
Licensed drivers,Pennsylvania,2022,"9,124,262"
Licensed drivers,Pennsylvania,2023,"9,134,289"
Licensed drivers,Rhode Island,2020,"731,715"
Licensed drivers,Rhode Island,2015,"745,470"
Licensed drivers,Rhode Island,2010,"747,875"
Licensed drivers,Rhode Island,2016,"753,143"
Licensed drivers,Rhode Island,2017,"753,202"
