Series,Unit,Year,Value
Total energy consumption per capita in the industrial sector,Million BTUs,2015,444.7
Total energy consumption per capita in the industrial sector,Million BTUs,2016,440.6
Total energy consumption per capita in the industrial sector,Million BTUs,2017,446.7
Total energy consumption per capita in the industrial sector,Million BTUs,2018,450
Total energy consumption per capita in the industrial sector,Million BTUs,2019,454.7
Total energy consumption per capita in the industrial sector,Million BTUs,2020,493.9
Total energy consumption per capita in the industrial sector,Million BTUs,2021,526.7
Total energy consumption per capita in the industrial sector,Million BTUs,2022,585.3
Total energy consumption per capita in the industrial sector,Million BTUs,2023,594.2
Total energy consumption per capita in the residential sector,Million BTUs,1960,39.7
Total energy consumption per capita in the residential sector,Million BTUs,1970,77.8
Total energy consumption per capita in the residential sector,Million BTUs,1980,81.4
Total energy consumption per capita in the residential sector,Million BTUs,1990,80.9
Total energy consumption per capita in the residential sector,Million BTUs,2000,77.1
Total energy consumption per capita in the residential sector,Million BTUs,2010,68.9
Total energy consumption per capita in the residential sector,Million BTUs,2015,67.4
Total energy consumption per capita in the residential sector,Million BTUs,2016,64.2
Total energy consumption per capita in the residential sector,Million BTUs,2017,67.5
Total energy consumption per capita in the residential sector,Million BTUs,2018,62.9
Total energy consumption per capita in the residential sector,Million BTUs,2019,62.1
Total energy consumption per capita in the residential sector,Million BTUs,2020,63.9
Total energy consumption per capita in the residential sector,Million BTUs,2021,66.1
Total energy consumption per capita in the residential sector,Million BTUs,2022,63.8
Total energy consumption per capita in the residential sector,Million BTUs,2023,66.2
"Fuel ethanol, excluding denaturant, consumed by the transportation sector",Billion BTUs,1960,0
"Fuel ethanol, excluding denaturant, consumed by the transportation sector",Billion BTUs,1970,0
"Fuel ethanol, excluding denaturant, consumed by the transportation sector",Billion BTUs,1980,0
"Fuel ethanol, excluding denaturant, consumed by the transportation sector",Billion BTUs,1990,0
"Fuel ethanol, excluding denaturant, consumed by the transportation sector",Billion BTUs,2000,168
"Fuel ethanol, excluding denaturant, consumed by the transportation sector",Billion BTUs,2010,0
"Fuel ethanol, excluding denaturant, consumed by the transportation sector",Billion BTUs,2015,0
"Fuel ethanol, excluding denaturant, consumed by the transportation sector",Billion BTUs,2016,0
"Fuel ethanol, excluding denaturant, consumed by the transportation sector",Billion BTUs,2017,0
"Fuel ethanol, excluding denaturant, consumed by the transportation sector",Billion BTUs,2018,0
"Fuel ethanol, excluding denaturant, consumed by the transportation sector",Billion BTUs,2019,0
"Fuel ethanol, excluding denaturant, consumed by the transportation sector",Billion BTUs,2020,0
"Fuel ethanol, excluding denaturant, consumed by the transportation sector",Billion BTUs,2021,0
"Fuel ethanol, excluding denaturant, consumed by the transportation sector",Billion BTUs,2022,0
"Fuel ethanol, excluding denaturant, consumed by the transportation sector",Billion BTUs,2023,0
